Topic_code,Topic_desc,DataSet_code,DataSet_desc,Country_code,Country_desc,Flow_code,Flow_desc,Indicator_code,Indicator_desc,Partner_Country_code,Partner_Country_desc,Unit_code,Unit_desc,Year,Value,Value_Flag,Notes_Export
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,1998,595232832,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,1999,724747958,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2000,1595889684,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2001,1794676366,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2002,1731857386,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2003,1642511654,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2004,1481000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2005,3068000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2006,3318000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2007,2307000000,,
MT,Merchandise trade,CO,Merchandise trade by commodity,BR,Brazil,X,Exports,MAMTOTTL,Telecommunications equipment,WL,World,UC,US dollar at current prices,2008,2635000000,,
